local_date,target_max_temp,temperature_2m_min,temperature_2m_max,temperature_2m_mean,relative_humidity_2m_mean,wind_speed_10m_mean,wind_speed_10m_max,precipitation_sum,cloud_cover_mean
2024-05-26,14.0,9.2,13.9,11.0625,81.54166666666667,2.9033333333333338,3.96,0.8,99.375
2024-05-27,19.0,10.4,19.0,14.208333333333334,70.95833333333333,2.2566666666666664,3.08,0.0,89.83333333333333
2024-05-28,14.0,9.6,14.3,11.825000000000001,77.41666666666667,2.5775,5.24,0.2,80.91666666666667
2024-05-29,16.0,7.8,14.1,10.720833333333333,80.91666666666667,2.6683333333333334,5.37,8.1,83.83333333333333
2024-05-30,17.0,8.3,16.5,11.6875,71.33333333333333,2.124166666666667,3.1,0.0,59.291666666666664
2024-05-31,21.0,6.5,20.9,13.958333333333334,59.208333333333336,2.1,2.92,0.0,34.0
2024-06-01,17.0,11.2,17.8,14.404166666666667,68.91666666666667,2.0575,2.92,0.1,67.83333333333333
2024-06-02,15.0,11.9,14.5,13.329166666666666,88.54166666666667,2.8708333333333336,6.71,7.8,99.95833333333333
2024-06-03,14.0,9.8,13.6,11.641666666666666,84.70833333333333,5.307916666666666,7.13,19.599999999999998,91.33333333333333
2024-06-04,16.0,9.4,15.1,11.679166666666667,81.70833333333333,4.276666666666666,5.92,4.3,77.95833333333333
2024-06-05,19.0,8.2,17.9,12.725,69.16666666666667,1.755,2.9,0.0,42.291666666666664
2024-06-06,22.0,8.8,20.7,14.729166666666666,62.958333333333336,2.48875,3.41,0.0,23.416666666666668
2024-06-07,24.0,9.7,23.9,17.150000000000002,55.083333333333336,2.670833333333333,3.81,0.0,0.4583333333333333
2024-06-08,25.0,12.1,25.8,19.516666666666666,50.666666666666664,1.3770833333333332,2.41,0.0,17.291666666666668
2024-06-09,21.0,11.2,21.4,15.9375,74.5,2.6683333333333334,4.11,0.0,28.5
2024-06-10,21.0,9.5,20.2,14.262500000000001,76.25,2.1354166666666665,3.11,0.0,89.875
2024-06-11,19.0,12.3,18.4,14.666666666666666,67.0,3.80125,7.75,0.1,38.916666666666664
2024-06-12,19.0,9.0,18.8,13.829166666666666,60.583333333333336,2.68,3.81,0.0,41.208333333333336
2024-06-13,19.0,8.4,20.3,14.674999999999999,59.208333333333336,2.1233333333333335,2.83,0.0,61.125
2024-06-14,17.0,8.7,16.7,12.762500000000001,71.125,3.1979166666666665,4.76,0.0,77.41666666666667
2024-06-15,15.0,9.4,14.1,11.387500000000001,76.625,4.306666666666667,5.94,0.0,86.5
2024-06-16,17.0,7.8,16.7,11.9125,70.0,2.200416666666667,4.32,0.0,54.166666666666664
2024-06-17,16.0,9.6,15.9,12.262500000000001,76.83333333333333,1.95875,3.19,0.39999999999999997,90.625
2024-06-18,19.0,9.5,19.9,13.933333333333332,68.875,2.0170833333333333,3.35,0.0,62.791666666666664
2024-06-19,26.0,10.3,25.2,17.520833333333332,59.708333333333336,2.4945833333333334,3.37,0.0,5.791666666666667
2024-06-20,28.0,13.6,27.6,20.529166666666665,50.208333333333336,2.6991666666666667,4.12,0.0,3.625
2024-06-21,29.0,14.7,29.0,21.941666666666666,45.416666666666664,1.6841666666666668,2.76,0.0,13.583333333333334
2024-06-22,23.0,13.6,23.0,17.900000000000002,65.70833333333333,2.56,3.79,0.0,44.75
2024-06-23,19.0,12.3,18.8,15.604166666666666,72.16666666666667,3.9766666666666666,5.52,0.0,48.666666666666664
2024-06-24,21.0,11.1,20.8,15.529166666666667,69.79166666666667,2.0770833333333334,3.76,0.0,48.958333333333336
